headline,image_brightness,text_length,num_colors,ctr
Best Shoes Ever,0.82,18,4,0.122
Buy Now and Save!,0.61,20,5,0.083
Top Deals Today,0.74,22,6,0.101
New Arrival!,0.91,15,3,0.145
Limited Offer!,0.52,30,2,0.070
Summer Sale - Hurry!,0.87,25,5,0.138
Winter Essentials,0.48,19,3,0.065
Flash Sale Ends Soon,0.73,24,4,0.112
Try it Now Free!,0.79,17,4,0.120
Exclusive Launch!,0.69,28,6,0.097
Hot Fashion Picks,0.76,21,5,0.118
Up to 70% Off!,0.59,27,4,0.089
Big Savings Await,0.67,23,3,0.102
Style Reimagined,0.88,16,4,0.129
Limited Edition Drop,0.84,20,3,0.110
Your Perfect Look,0.72,18,5,0.115
Act Fast - Few Left,0.68,26,6,0.095
Top Rated Collection,0.77,22,5,0.123
Trending This Week,0.65,24,4,0.108
Latest Trends Inside,0.71,19,3,0.106
